fxosaccx,fxosaccy,fxosaccz,lsmaccx,lsmaccy,lsmaccz,lsmangx,lsmangy,lsmangz,a0,a1,a2,a3,a4,a5,f1,f2,timestamp
-232,52,16752,0,0,0,0,0,0,17037,13228,19135,17087,19162,17148,40,0,2590
-1232,272,18996,0,0,0,0,0,0,19854,23967,15416,21270,23062,20176,40,0,2600
2508,-832,14812,0,0,0,0,0,0,23971,19007,22018,22225,26040,17214,39,1,2610
-552,-72,16896,0,0,0,0,0,0,16067,8424,24651,21348,28450,26563,39,0,2620
600,-1356,17696,0,0,0,0,0,0,14400,8419,22114,15212,26076,19289,39,1,2630
308,804,16356,0,0,0,0,0,0,16378,9254,21089,20834,23909,23924,41,0,2640
-2064,472,19112,0,0,0,0,0,0,13061,10079,19359,19067,23814,22072,40,0,2650
2164,-1484,17812,0,0,0,0,0,0,12255,17285,19356,13198,25007,26973,41,1,2660
-128,96,14668,0,0,0,0,0,0,17971,12258,19314,14064,25143,21085,40,0,2670
1372,-1480,14436,0,0,0,0,0,0,14158,13446,17997,13125,26515,20127,40,1,2680
-388,1152,16820,0,0,0,0,0,0,17812,15179,19226,15008,28698,21099,40,0,2690
-328,-216,18148,0,0,0,0,0,0,16135,13408,19083,13217,23027,14304,40,0,2700
1504,208,18220,0,0,0,0,0,0,17689,15056,13317,20986,20235,18795,40,1,2710
-1840,408,16324,0,0,0,0,0,0,14959,10394,22223,20899,26960,23814,40,0,2720
2008,-1908,16092,0,0,0,0,0,0,10156,7347,22273,21949,25738,18355,40,1,2730
-192,1048,17028,0,0,0,0,0,0,9100,12884,21905,24849,23023,14275,41,0,2740
-176,-1408,17244,0,0,0,0,0,0,14932,19920,18836,26866,22151,11462,40,1,2750
1268,1732,18320,0,0,0,0,0,0,22045,17163,18000,16994,20158,14501,40,0,2760
-2088,1308,17644,0,0,0,0,0,0,17244,18755,17361,11528,20886,22145,40,0,2770
1704,-1816,16896,0,0,0,0,0,0,12977,8121,16214,11632,22177,19942,41,1,2780
-384,232,15872,0,0,0,0,0,0,6298,7428,17155,14060,22100,24822,40,0,2790
1092,-1168,15388,0,0,0,0,0,0,11499,16215,24639,19090,24101,26000,40,1,2800
512,2016,17936,0,0,0,0,0,0,15000,17000,24185,15090,25865,23169,40,0,2810
-2020,900,18676,0,0,0,0,0,0,11270,9356,19271,16316,21097,15269,39,0,2820
1328,-944,17444,0,0,0,0,0,0,7419,11029,13346,14271,20232,17183,40,1,2830
-868,236,18060,0,0,0,0,0,0,13128,15789,13537,13336,21105,22018,40,0,2840
1772,-1096,13660,0,0,0,0,0,0,13172,11451,15248,13264,22219,23992,41,1,2850
292,980,17652,0,0,0,0,0,0,15232,17935,19969,18473,23761,20258,40,0,2860
-772,-536,17588,0,0,0,0,0,0,17294,13357,21856,15302,17325,16347,40,0,2870
792,-180,16784,0,0,0,0,0,0,16107,13237,21264,19139,17453,9677,39,1,2880
-1092,664,19232,0,0,0,0,0,0,15044,17147,16287,19102,17330,19164,40,0,2890
2460,-1576,13904,0,0,0,0,0,0,10569,17983,15297,14421,19885,20100,39,1,2900
36,88,16912,0,0,0,0,0,0,21898,23918,21082,13127,17154,18043,40,0,2910
